ticker,form,mode,years_or_limit,timestamp
AAPL,10-K,year-range,2023,2025-08-28T07:43:34
AAPL,10-K,year-range,2024,2025-08-28T07:43:34
AAPL,10-K,year-range,2025,2025-08-28T07:43:34
AAPL,10-Q,year-range,2023,2025-08-28T07:43:34
AAPL,10-Q,year-range,2024,2025-08-28T07:43:34
AAPL,10-Q,year-range,2025,2025-08-28T07:43:34
MSFT,10-K,year-range,2023,2025-08-28T07:43:34
MSFT,10-K,year-range,2024,2025-08-28T07:43:34
MSFT,10-K,year-range,2025,2025-08-28T07:43:34
MSFT,10-Q,year-range,2023,2025-08-28T07:43:34
MSFT,10-Q,year-range,2024,2025-08-28T07:43:34
MSFT,10-Q,year-range,2025,2025-08-28T07:43:34
GOOGL,10-K,year-range,2023,2025-08-28T07:43:34
GOOGL,10-K,year-range,2024,2025-08-28T07:43:34
GOOGL,10-K,year-range,2025,2025-08-28T07:43:34
GOOGL,10-Q,year-range,2023,2025-08-28T07:43:34
GOOGL,10-Q,year-range,2024,2025-08-28T07:43:34
GOOGL,10-Q,year-range,2025,2025-08-28T07:43:34
AMZN,10-K,year-range,2023,2025-08-28T07:43:34
AMZN,10-K,year-range,2024,2025-08-28T07:43:34
AMZN,10-K,year-range,2025,2025-08-28T07:43:34
AAPL,10-K,year-range,2023,2025-08-28T07:52:41
AAPL,10-K,year-range,2024,2025-08-28T07:52:41
AAPL,10-K,year-range,2025,2025-08-28T07:52:41
AAPL,10-Q,year-range,2023,2025-08-28T07:52:41
AAPL,10-Q,year-range,2024,2025-08-28T07:52:41
AAPL,10-Q,year-range,2025,2025-08-28T07:52:41
MSFT,10-K,year-range,2023,2025-08-28T07:52:41
MSFT,10-K,year-range,2024,2025-08-28T07:52:41
AAPL,10-K,year-range,2023,2025-08-28T07:53:53
AAPL,10-K,year-range,2024,2025-08-28T07:53:53
AAPL,10-K,year-range,2025,2025-08-28T07:53:53
AAPL,10-Q,year-range,2023,2025-08-28T07:53:53
AAPL,10-Q,year-range,2024,2025-08-28T07:53:53
AAPL,10-Q,year-range,2025,2025-08-28T07:53:53
MSFT,10-K,year-range,2023,2025-08-28T07:53:53
MSFT,10-K,year-range,2024,2025-08-28T07:53:53
MSFT,10-K,year-range,2025,2025-08-28T07:53:53
MSFT,10-Q,year-range,2023,2025-08-28T07:53:53
MSFT,10-Q,year-range,2024,2025-08-28T07:53:53
MSFT,10-Q,year-range,2025,2025-08-28T07:53:53
GOOGL,10-K,year-range,2023,2025-08-28T07:53:53
GOOGL,10-K,year-range,2024,2025-08-28T07:53:53
GOOGL,10-K,year-range,2025,2025-08-28T07:53:53
