ticker,form,year,error,timestamp
MSFT,10-K,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
MSFT,10-Q,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
BRK-A,10-K,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
BRK-A,10-Q,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
TSLA,10-K,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
TSLA,10-Q,"[2023, 2024, 2025]","NameError(""name 'ticker' is not defined"")",2025-08-28T09:32:24
MSFT,10-K,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
MSFT,10-Q,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
BRK-A,10-K,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
BRK-A,10-Q,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
TSLA,10-K,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
TSLA,10-Q,"[2023, 2024, 2025]","TypeError(""_download_xbrl_for_folder() got an unexpected keyword argument 'ticker'"")",2025-08-28T09:33:45
