ticker,year,form_acc,text_lines,table_count,numeric_ratio
TSLA,2025,10-K_0001628280-25-003063,1691,84,0.0614
TSLA,2025,10-Q_0001628280-25-018911,639,48,0.0586
TSLA,2025,10-Q_0001628280-25-035806,690,51,0.0732
TSLA,2024,10-K_0001628280-24-002390,1712,86,0.0618
TSLA,2024,10-Q_0001628280-24-017503,617,48,0.0594
TSLA,2024,10-Q_0001628280-24-032662,674,51,0.0752
TSLA,2024,10-Q_0001628280-24-043486,682,51,0.0771
TSLA,2023,10-K_0000950170-23-001409,5682,99,0.0611
TSLA,2023,10-Q_0000950170-23-013890,2439,48,0.0631
TSLA,2023,10-Q_0000950170-23-033872,3249,51,0.0779
TSLA,2023,10-Q_0001628280-23-034847,685,51,0.0772
NVDA,2025,10-K_0001045810-25-000023,1670,68,0.0805
NVDA,2025,10-Q_0001045810-25-000116,685,50,0.0749
NVDA,2024,10-K_0001045810-24-000029,1623,66,0.0631
NVDA,2024,10-Q_0001045810-24-000124,689,52,0.0716
NVDA,2024,10-Q_0001045810-24-000264,698,53,0.0639
NVDA,2024,10-Q_0001045810-24-000316,695,53,0.0637
NVDA,2023,10-K_0001045810-23-000017,1683,66,0.062
NVDA,2023,10-Q_0001045810-23-000093,655,47,0.0727
NVDA,2023,10-Q_0001045810-23-000175,740,50,0.0646
NVDA,2023,10-Q_0001045810-23-000227,734,50,0.0642
MSFT,2025,10-K_0000950170-25-100235,5716,85,0.0573
MSFT,2025,10-Q_0000950170-25-010491,4451,61,0.0732
MSFT,2025,10-Q_0000950170-25-061046,4450,61,0.0716
MSFT,2024,10-K_0000950170-24-087843,5989,92,0.0572
MSFT,2024,10-Q_0000950170-24-008814,4449,64,0.0803
MSFT,2024,10-Q_0000950170-24-048288,4557,63,0.0807
MSFT,2024,10-Q_0000950170-24-118967,3615,61,0.0577
MSFT,2023,10-K_0000950170-23-035122,5529,90,0.0571
MSFT,2023,10-Q_0000950170-23-014423,4381,61,0.0808
MSFT,2023,10-Q_0000950170-23-054855,3309,58,0.0682
MSFT,2023,10-Q_0001564590-23-000733,4459,162,0.0643
META,2025,10-K_0001326801-25-000017,2074,69,0.0573
META,2025,10-Q_0001326801-25-000054,1305,42,0.0411
META,2025,10-Q_0001628280-25-036791,1329,42,0.0531
META,2024,10-K_0001326801-24-000012,2038,73,0.06
META,2024,10-Q_0001326801-24-000049,1285,47,0.043
META,2024,10-Q_0001326801-24-000069,1333,49,0.0542
META,2024,10-Q_0001326801-24-000081,1354,51,0.0547
META,2023,10-K_0001326801-23-000013,1952,77,0.059
META,2023,10-Q_0001326801-23-000067,1340,60,0.0441
META,2023,10-Q_0001326801-23-000093,1349,59,0.0544
META,2023,10-Q_0001326801-23-000103,1378,59,0.0551
JPM,2025,10-K_0000019617-25-000270,8770,680,0.0734
JPM,2025,10-Q_0000019617-25-000421,4411,265,0.0674
JPM,2025,10-Q_0000019617-25-000615,4928,279,0.0827
JPM,2024,10-K_0000019617-24-000225,8933,669,0.0731
JPM,2024,10-Q_0000019617-24-000326,4619,266,0.0677
JPM,2024,10-Q_0000019617-24-000453,4993,279,0.0819
JPM,2024,10-Q_0000019617-24-000611,4976,280,0.0817
JPM,2023,10-K_0000019617-23-000231,8338,639,0.0676
JPM,2023,10-Q_0000019617-23-000310,4362,260,0.0705
JPM,2023,10-Q_0000019617-23-000432,5335,290,0.083
JPM,2023,10-Q_0000019617-23-000524,5437,290,0.0833
JNJ,2025,10-K_0000200406-25-000038,2083,233,0.0758
JNJ,2025,10-Q_0000200406-25-000119,1199,112,0.0989
JNJ,2025,10-Q_0000200406-25-000178,1407,132,0.1007
JNJ,2024,10-K_0000200406-24-000013,2066,227,0.078
JNJ,2024,10-Q_0000200406-24-000049,1233,112,0.0961
JNJ,2024,10-Q_0000200406-24-000075,1474,133,0.0828
JNJ,2024,10-Q_0000200406-24-000096,1412,131,0.0988
JNJ,2023,10-K_0000200406-23-000016,1900,214,0.0658
JNJ,2023,10-Q_0000200406-23-000056,956,52,0.0872
JNJ,2023,10-Q_0000200406-23-000082,1130,62,0.0885
JNJ,2023,10-Q_0000200406-23-000102,1094,64,0.0822
GOOGL,2025,10-K_0001652044-25-000014,2037,180,0.0655
GOOGL,2025,10-Q_0001652044-25-000043,881,82,0.0703
GOOGL,2025,10-Q_0001652044-25-000062,991,89,0.0891
GOOGL,2024,10-K_0001652044-24-000022,1951,178,0.0641
GOOGL,2024,10-Q_0001652044-24-000053,827,77,0.0672
GOOGL,2024,10-Q_0001652044-24-000079,884,84,0.0887
GOOGL,2024,10-Q_0001652044-24-000118,899,84,0.0892
GOOGL,2023,10-K_0001652044-23-000016,1842,174,0.0649
GOOGL,2023,10-Q_0001652044-23-000045,908,112,0.0629
GOOGL,2023,10-Q_0001652044-23-000070,991,124,0.0779
GOOGL,2023,10-Q_0001652044-23-000094,989,124,0.0781
BRK-A,2025,10-K_0000950170-25-025210,9414,123,0.0664
BRK-A,2025,10-Q_0000950170-25-063112,4469,83,0.0808
BRK-A,2025,10-Q_0000950170-25-101578,6023,87,0.1037
BRK-A,2024,10-K_0000950170-24-019719,9194,123,0.0662
BRK-A,2024,10-Q_0000950170-24-053185,4148,79,0.0775
BRK-A,2024,10-Q_0000950170-24-090305,5396,79,0.0985
BRK-A,2024,10-Q_0000950170-24-120241,5536,79,0.0967
BRK-A,2023,10-K_0000950170-23-004451,8597,114,0.0657
BRK-A,2023,10-Q_0000950170-23-018438,4697,86,0.0723
BRK-A,2023,10-Q_0000950170-23-038705,5753,85,0.0944
BRK-A,2023,10-Q_0000950170-23-058993,5881,85,0.0931
AMZN,2025,10-K_0001018724-25-000004,1358,89,0.0674
AMZN,2025,10-Q_0001018724-25-000036,793,51,0.0785
AMZN,2025,10-Q_0001018724-25-000086,799,51,0.0636
AMZN,2024,10-K_0001018724-24-000008,1367,91,0.0667
AMZN,2024,10-Q_0001018724-24-000083,801,50,0.0772
AMZN,2024,10-Q_0001018724-24-000130,797,50,0.0613
AMZN,2024,10-Q_0001018724-24-000161,816,50,0.0613
AMZN,2023,10-K_0001018724-23-000004,1321,90,0.0675
AMZN,2023,10-Q_0001018724-23-000008,799,50,0.0769
AMZN,2023,10-Q_0001018724-23-000012,789,50,0.0608
AMZN,2023,10-Q_0001018724-23-000018,792,50,0.0606
AAPL,2025,10-Q_0000320193-25-000008,417,29,0.0683
AAPL,2025,10-Q_0000320193-25-000057,418,29,0.0858
AAPL,2025,10-Q_0000320193-25-000073,404,30,0.0848
AAPL,2024,10-K_0000320193-24-000123,1097,55,0.0885
AAPL,2024,10-Q_0000320193-24-000006,397,31,0.0654
AAPL,2024,10-Q_0000320193-24-000069,393,31,0.0817
AAPL,2024,10-Q_0000320193-24-000081,394,31,0.0821
AAPL,2023,10-K_0000320193-23-000106,1049,58,0.0882
AAPL,2023,10-Q_0000320193-23-000006,460,35,0.0638
AAPL,2023,10-Q_0000320193-23-000064,445,35,0.0792
AAPL,2023,10-Q_0000320193-23-000077,447,35,0.0785
